"","width","gene_id","gene_name","gene_biotype","description","entrezid"
"75",5917,"WBGene00006385","taf-4","protein_coding","TAF (TBP-associated transcription factor) family  [Source:UniProtKB/TrEMBL;Acc:O61707]",171630
"76",5946,"WBGene00020090","R119.5","protein_coding","NULL",171631
"77",14025,"WBGene00021733","otub-2","protein_coding","OTUBain deubiquitylating protease homolog  [Source:UniProtKB/TrEMBL;Acc:Q9N4T5]",171633
"78",5750,"WBGene00021734","Y50C1A.2","protein_coding","NULL",190091
"79",2792,"WBGene00015570","C07F11.2","protein_coding","NULL",171634
"80",17607,"WBGene00006593","tol-1","protein_coding","TOLl (Drosophila) family  [Source:UniProtKB/TrEMBL;Acc:Q9N5Z3]",171635
"81",657,"WBGene00021026","W04C9.4","protein_coding","NULL",171636
"82",4475,"WBGene00021027","W04C9.5","protein_coding","NULL",189184
"83",21,"WBGene00166632","21ur-8411","piRNA","NULL",NA
"84",2756,"WBGene00235387","W04C9.8","ncRNA","NULL",NA
"85",4373,"WBGene00021025","cutl-13","protein_coding","CUTiclin-Like  [Source:UniProtKB/TrEMBL;Acc:Q9TZE2]",171637
"86",1841,"WBGene00235388","W04C9.9","protein_coding","NULL",24104989
"87",3865,"WBGene00021028","W04C9.6","protein_coding","NULL",189185
"88",1299,"WBGene00021024","W04C9.2","protein_coding","MICOS complex subunit MIC13  [Source:UniProtKB/TrEMBL;Acc:Q9TZE0]",171638
"89",6182,"WBGene00001814","haf-4","protein_coding","HAlF transporter (PGP related)  [Source:UniProtKB/TrEMBL;Acc:V6CLE7]",171639
"90",5899,"WBGene00022035","Y65B4BL.3","protein_coding","NULL",171640
"91",3319,"WBGene00022036","Y65B4BL.4","protein_coding","NULL",171641
"92",2588,"WBGene00022034","deps-1","protein_coding","NULL",171642
"93",2202,"WBGene00022039","Y65B4BL.7","protein_coding","NULL",3564829
"94",8749,"WBGene00022037","acs-13","protein_coding","Fatty Acid CoA Synthetase family  [Source:UniProtKB/TrEMBL;Acc:V6CLI5]",171643
"95",150,"WBGene00196781","Y65B4BL.10","ncRNA","NULL",NA
"96",129,"WBGene00196389","Y65B4BL.9","ncRNA","NULL",NA
"97",1446,"WBGene00022038","Y65B4BL.6","protein_coding","NULL",190487
"98",92,"WBGene00195369","Y65B4BL.8","ncRNA","NULL",NA
"99",112,"WBGene00197961","Y65B4BL.11","ncRNA","NULL",NA
"100",289,"WBGene00200577","Y65B4BL.12","ncRNA","NULL",NA
"101",1030,"WBGene00022033","Y65B4BL.1","protein_coding","NULL",171644
"102",1360,"WBGene00302974","Y65B4BM.3","protein_coding","NULL",36805065
"103",72,"WBGene00220190","Y65B4BM.2","ncRNA","NULL",NA
"104",890,"WBGene00022043","psf-3","protein_coding","PSF (Yeast Partner of Sld Five) conserved replication factor, GINS complex  [Source:UniProtKB/TrEMBL;Acc:Q9BL54]",171645
"105",880,"WBGene00022042","icd-2","protein_coding","Nascent polypeptide-associated complex subunit alpha  [Source:UniProtKB/Swiss-Prot;Acc:Q86S66]",171646
"106",128,"WBGene00201456","Y65B4BR.10","ncRNA","NULL",NA
"107",5079,"WBGene00007009","wwp-1","protein_coding","E3 ubiquitin-protein ligase  [Source:UniProtKB/TrEMBL;Acc:V6CJJ8]",171647
"108",157,"WBGene00220191","Y65B4BR.12","snoRNA","NULL",NA
"109",5943,"WBGene00004235","ptr-21","protein_coding","PaTched Related family  [Source:UniProtKB/TrEMBL;Acc:Q9N2Z6]",191752
"110",128,"WBGene00202444","Y65B4BR.11","ncRNA","NULL",NA
"111",4297,"WBGene00002393","lpr-1","protein_coding","LiPocalin related protein variant 1b; LiPocalin-Related protein  [Source:UniProtKB/TrEMBL;Acc:B6DX32]",171648
"112",2446,"WBGene00022040","Y65B4BR.1","protein_coding","NULL",190488
"113",979,"WBGene00000434","ceh-9","protein_coding","Homeobox protein ceh-9  [Source:UniProtKB/Swiss-Prot;Acc:P56407]",267057
"114",2944,"WBGene00001725","grl-16","protein_coding","GRound-Like (Grd related)  [Source:UniProtKB/TrEMBL;Acc:V6CM29]",171649
"115",1461,"WBGene00044427","F56A6.5","protein_coding","NULL",3565307
"116",258,"WBGene00235390","F56A6.8","protein_coding","NULL",24104647
"117",21771,"WBGene00002040","hum-7","protein_coding","Heavy chain, Unconventional Myosin  [Source:UniProtKB/TrEMBL;Acc:H2L082]",171650
"118",90,"WBGene00200417","F56A6.6","ncRNA","NULL",NA
"119",90,"WBGene00201449","F56A6.7","ncRNA","NULL",NA
"120",14794,"WBGene00018923","eme-1","protein_coding","Essential Meiotic Endonuclease  [Source:UniProtKB/TrEMBL;Acc:V6CLM3]",171652
"121",3331,"WBGene00018921","sago-2","protein_coding","Piwi-like protein  [Source:UniProtKB/TrEMBL;Acc:A0A0U1RML6]",171653
"122",480,"WBGene00022028","Y65B4A.4","protein_coding","NULL",190484
"123",6859,"WBGene00022029","Y65B4A.6","protein_coding","NULL",190485
"124",213,"WBGene00220188","Y65B4A.10","snoRNA","NULL",NA
"125",110,"WBGene00220189","Y65B4A.11","snoRNA","NULL",NA
"126",1049,"WBGene00022027","vps-20","protein_coding","Related to yeast Vacuolar Protein Sorting factor  [Source:UniProtKB/TrEMBL;Acc:Q9BL60]",171654
"127",15858,"WBGene00022026","Y65B4A.2","protein_coding","NULL",171655
"128",1617,"WBGene00022030","Y65B4A.7","protein_coding","NULL",190486
"129",4721,"WBGene00022025","cus-2","protein_coding","NULL",171656
"130",4130,"WBGene00022031","Y65B4A.8","protein_coding","NULL",171657
"131",2475,"WBGene00022032","Y65B4A.9","protein_coding","NULL",171658
"132",6799,"WBGene00044461","Y18H1A.14","protein_coding","NULL",3565894
"133",3065,"WBGene00021215","Y18H1A.11","protein_coding","NULL",353380
"134",3724,"WBGene00021214","hasp-2","protein_coding","HASPin kinase related  [Source:UniProtKB/TrEMBL;Acc:Q9BL96]",171659
"135",2982,"WBGene00021207","ptp-5.3","protein_coding","NULL",171660
"136",2923,"WBGene00021210","Y18H1A.4","protein_coding","NULL",171661
"137",3341,"WBGene00021208","Y18H1A.2","protein_coding","NULL",NA
"138",15601,"WBGene00021209","hgap-1","protein_coding","Heterodimeric GTPase Activating Protein subunit  [Source:UniProtKB/TrEMBL;Acc:V6CJZ0]",171663
"139",1924,"WBGene00004332","rec-1","protein_coding","NULL",171664
"140",11150,"WBGene00004028","pif-1","protein_coding","ATP-dependent DNA helicase PIF1  [Source:UniProtKB/TrEMBL;Acc:V6CIU3]",171665
"141",5485,"WBGene00044434","Y18H1A.15","protein_coding","NULL",3564878
"142",1044,"WBGene00236789","Y18H1A.18","protein_coding","NULL",24105053
"143",3658,"WBGene00000623","col-46","protein_coding","COLlagen  [Source:UniProtKB/TrEMBL;Acc:Q1EPL5]",4363005
"144",167,"WBGene00198328","Y18H1A.17","ncRNA","NULL",NA
"145",2430,"WBGene00000624","col-47","protein_coding","COLlagen  [Source:UniProtKB/TrEMBL;Acc:V6CLD0]",4363004
"146",8783,"WBGene00021213","Y18H1A.9","protein_coding","NULL",171666
"147",84,"WBGene00023169","Y18H1A.t1","tRNA","NULL",NA
"148",83,"WBGene00197162","Y18H1A.16","ncRNA","NULL",NA
"149",1674,"WBGene00021212","Y18H1A.8","protein_coding","NULL",171667
"150",1002,"WBGene00020282","mps-3","protein_coding","MiRP K channel accessory Subunit; MiRP5  [Source:UniProtKB/TrEMBL;Acc:G5ECI4]",188157
"151",7124,"WBGene00020283","T06A4.3","protein_coding","NULL",171668
"152",5478,"WBGene00020281","T06A4.1","protein_coding","NULL",171669
"153",221,"WBGene00196394","T06A4.5","ncRNA","NULL",NA
"154",146,"WBGene00196011","T06A4.4","ncRNA","NULL",NA
"155",85,"WBGene00201573","T06A4.6","ncRNA","NULL",NA
"156",123,"WBGene00201667","T06A4.7","ncRNA","NULL",NA
"157",299,"WBGene00195514","Y73A3A.1","ncRNA","NULL",NA
"158",144,"WBGene00199422","Y73A3A.2","ncRNA","NULL",NA
"159",31910,"WBGene00022518","zfh-2","protein_coding","Zinc Finger and Homeobox  [Source:UniProtKB/TrEMBL;Acc:V6CLS4]",171670
"160",73,"WBGene00023398","ZC123.t1","pseudogene","NULL",NA
"161",241,"WBGene00200408","ZC123.8","ncRNA","NULL",NA
"162",150,"WBGene00201436","ZC123.10","ncRNA","NULL",NA
"163",183,"WBGene00202093","ZC123.11","ncRNA","NULL",NA
"164",148,"WBGene00197978","ZC123.7","ncRNA","NULL",NA
"165",51,"WBGene00195610","ZC123.5","ncRNA","NULL",NA
"166",271,"WBGene00200506","ZC123.9","ncRNA","NULL",NA
"167",50,"WBGene00197264","ZC123.6","ncRNA","NULL",NA
"168",3751,"WBGene00022517","ZC123.1","protein_coding","NULL",171671
"169",5022,"WBGene00022519","ZC123.4","protein_coding","NULL",171672
"170",321,"WBGene00202359","Y95B8A.17","ncRNA","NULL",NA
"171",18653,"WBGene00022388","Y95B8A.8","protein_coding","NULL",190806
"172",9550,"WBGene00022389","pde-6","protein_coding","Probable 3',5'-cyclic phosphodiesterase pde-6  [Source:UniProtKB/Swiss-Prot;Acc:Q9N2V9]",190808
"173",7277,"WBGene00022386","Y95B8A.6","protein_coding","NULL",171674
"174",5335,"WBGene00022390","him-19","protein_coding","High Incidence of Males (Increased X chromosome loss)  [Source:UniProtKB/TrEMBL;Acc:V6CK14]",190809
"175",8792,"WBGene00001678","gpa-16","protein_coding","Guanine nucleotide-binding protein alpha-16 subunit  [Source:UniProtKB/Swiss-Prot;Acc:Q9N2V6]",171675
"176",143,"WBGene00220217","Y95B8A.18","snoRNA","NULL",NA
"177",3742,"WBGene00022385","Y95B8A.4","protein_coding","NULL",190805
"178",14463,"WBGene00022391","prhg-1","protein_coding","NULL",190810
"179",150,"WBGene00201274","Y95B8A.16","ncRNA","NULL",NA
"180",3310,"WBGene00022383","Y95B8A.2","protein_coding","NULL",171676
"181",106,"WBGene00199411","Y95B8A.14","ncRNA","NULL",NA
"182",106,"WBGene00200422","Y95B8A.15","ncRNA","NULL",NA
"183",4047,"WBGene00003548","nas-30","protein_coding","Zinc metalloproteinase nas-30  [Source:UniProtKB/Swiss-Prot;Acc:Q9N2V2]",190803
"184",91,"WBGene00195544","Y95B8A.13","ncRNA","NULL",NA
"185",72,"WBGene00023199","Y95B8A.t1","tRNA","NULL",NA
"186",8836,"WBGene00003238","mig-1","protein_coding","Transmembrane receptor  [Source:UniProtKB/TrEMBL;Acc:G5EF44]",171677
"187",5727,"WBGene00018787","cutl-20","protein_coding","CUTiclin-Like  [Source:UniProtKB/TrEMBL;Acc:V6CJG5]",171678
"188",7462,"WBGene00018788","shc-1","protein_coding","SHC-transforming protein homolog 1  [Source:UniProtKB/Swiss-Prot;Acc:Q9TYT3]",3565745
"189",150,"WBGene00197993","F54A5.4","ncRNA","NULL",NA
"190",150,"WBGene00200860","F54A5.5","ncRNA","NULL",NA
"191",2511,"WBGene00018786","hmbx-1","protein_coding","HMBOX (Mammalian HoMeoBOX gene) homolog  [Source:UniProtKB/TrEMBL;Acc:Q9TYT0]",171679
"192",9022,"WBGene00016932","C54G6.3","protein_coding","NULL",183815
"193",449,"WBGene00196934","C54G6.6","ncRNA","NULL",NA
"194",300,"WBGene00199650","C54G6.7","ncRNA","NULL",NA
"195",4589,"WBGene00016931","C54G6.2","protein_coding","NULL",183814
"196",3085,"WBGene00016930","madf-6","protein_coding","MADF domain transcription factor  [Source:UniProtKB/TrEMBL;Acc:H2KZF9]",171680
"197",528,"WBGene00236808","C54G6.8","protein_coding","NULL",24104354
"198",778,"WBGene00005002","spp-17","protein_coding","SaPosin-like Protein family  [Source:UniProtKB/TrEMBL;Acc:Q8WSN3]",171681
"199",395,"WBGene00021335","spp-23","protein_coding","SaPosin-like Protein family  [Source:UniProtKB/TrEMBL;Acc:Q6AW11]",259362
"200",10084,"WBGene00021327","mrpl-38","protein_coding","Mitochondrial Ribosomal Protein, Large  [Source:UniProtKB/TrEMBL;Acc:Q9BL86]",171682
"201",2808,"WBGene00004952","spd-1","protein_coding","SPD-1  [Source:UniProtKB/TrEMBL;Acc:G5ED58]",171683
"202",6426,"WBGene00021329","Y34D9A.3","protein_coding","NULL",171684
"203",6856,"WBGene00021332","Y34D9A.7","protein_coding","NULL",189588
"204",1132,"WBGene00021331","glrx-10","protein_coding","GLutaRedoXin  [Source:UniProtKB/TrEMBL;Acc:Q9N456]",171685
"205",2906,"WBGene00021333","Y34D9A.8","protein_coding","NULL",189589
"206",13006,"WBGene00021334","vps-4","protein_coding","Related to yeast Vacuolar Protein Sorting factor  [Source:UniProtKB/TrEMBL;Acc:Q9BL83]",189590
"207",2977,"WBGene00021328","npr-23","protein_coding","NeuroPeptide Receptor family  [Source:UniProtKB/TrEMBL;Acc:Q9N452]",189587
"208",6527,"WBGene00001745","gsa-1","protein_coding","G protein, Subunit Alpha  [Source:UniProtKB/TrEMBL;Acc:Q7KPV0]",171687
"209",10952,"WBGene00019909","R06A10.1","protein_coding","NULL",187633
"210",1229,"WBGene00044895","R06A10.5","protein_coding","NULL",4926918
"211",6131,"WBGene00019911","R06A10.4","protein_coding","NULL",171688
"212",21,"WBGene00174760","21ur-15525","piRNA","NULL",NA
"213",4674,"WBGene00022838","ZK993.2","protein_coding","NULL",191481
"214",3084,"WBGene00236809","ZK993.5","protein_coding","NULL",24105306
"215",83,"WBGene00202055","ZK993.4","ncRNA","NULL",NA
"216",3414,"WBGene00022837","ceh-45","protein_coding","C. Elegans Homeobox  [Source:UniProtKB/TrEMBL;Acc:Q9N4L2]",171689
"217",18016,"WBGene00021689","Y48G8AL.10","protein_coding","NULL",3565634
"218",1510,"WBGene00000165","aps-3","protein_coding","AdaPtin, Small chain (Clathrin associated complex)  [Source:UniProtKB/TrEMBL;Acc:Q8T874]",171691
"219",177,"WBGene00198207","Y48G8AL.18","ncRNA","NULL",NA
"220",292,"WBGene00195424","Y48G8AL.17","ncRNA","NULL",NA
"221",896,"WBGene00004429","rpl-17","protein_coding","60S ribosomal protein L17  [Source:UniProtKB/Swiss-Prot;Acc:Q9BL19]",171692
"222",5369,"WBGene00021687","Y48G8AL.7","protein_coding","NULL",171693
"223",12989,"WBGene00001816","haf-6","protein_coding","HAlF transporter (PGP related)  [Source:UniProtKB/TrEMBL;Acc:Q9BL17]",171694
"224",14359,"WBGene00004880","smg-2","protein_coding","Regulator of nonsense transcripts 1  [Source:UniProtKB/Swiss-Prot;Acc:O76512]",171696
"225",861,"WBGene00249808","Y48G8AL.20","ncRNA","NULL",NA
"226",18277,"WBGene00021686","Y48G8AL.5","protein_coding","NULL",171697
"227",43185,"WBGene00021685","herc-1","protein_coding","HECT and RCC domain E3 ubiquitin ligase  [Source:UniProtKB/TrEMBL;Acc:W6RY72]",171700
"228",2219,"WBGene00195068","Y48G8AL.16","protein_coding","NULL",13179322
"229",568,"WBGene00021690","Y48G8AL.12","protein_coding","NULL",171698
"230",5326,"WBGene00021691","Y48G8AL.13","protein_coding","NULL",171699
"231",71,"WBGene00201777","Y48G8AL.19","ncRNA","NULL",NA
"232",3489,"WBGene00021692","Y48G8AL.15","protein_coding","NULL",259363
"233",8782,"WBGene00001707","grh-1","protein_coding","GRainyHead (Drosophila transcription factor) homolog; Grainyhead transcription factor  [Source:UniProtKB/TrEMBL;Acc:G5EDF0]",190048
"234",1575,"WBGene00271777","Y48G8AR.8","protein_coding","NULL",34700654
"235",235,"WBGene00201534","Y48G8AR.7","ncRNA","NULL",NA
"236",131,"WBGene00200307","Y48G8AR.6","ncRNA","NULL",NA
"237",49,"WBGene00197713","Y48G8AR.4","ncRNA","NULL",NA
"238",49,"WBGene00199486","Y48G8AR.5","ncRNA","NULL",NA
"239",3335,"WBGene00021693","Y48G8AR.2","protein_coding","NULL",171702
"240",656,"WBGene00021694","Y48G8AR.3","protein_coding","NULL",190049
"241",22787,"WBGene00003400","dapk-1","protein_coding","Death-associated protein kinase dapk-1  [Source:UniProtKB/Swiss-Prot;Acc:O44997]",187322
"242",145,"WBGene00197361","K12C11.8","ncRNA","NULL",NA
"243",1377,"WBGene00044896","K12C11.5","protein_coding","NULL",4926970
"244",1547,"WBGene00019674","K12C11.3","protein_coding","NULL",187321
"245",1205,"WBGene00045052","K12C11.6","protein_coding","NULL",4926921
"246",1025,"WBGene00045053","K12C11.7","protein_coding","NULL",4926895
"247",581,"WBGene00004888","smo-1","protein_coding","Small ubiquitin-related modifier  [Source:UniProtKB/Swiss-Prot;Acc:P55853]",266820
"248",3475,"WBGene00019673","K12C11.1","protein_coding","NULL",171704
"249",11093,"WBGene00022363","Y92H12BL.1","protein_coding","Threonylcarbamoyladenosine tRNA methylthiotransferase  [Source:UniProtKB/Swiss-Prot;Acc:Q8MXQ7]",190786
"250",11101,"WBGene00022366","Y92H12BL.5","protein_coding","NULL",259365
"251",63,"WBGene00303097","Y92H12BL.6","protein_coding","NULL",36805072
"252",8116,"WBGene00022365","Y92H12BL.4","protein_coding","NULL",190787
"253",6942,"WBGene00022367","Y92H12BM.1","protein_coding","NULL",190788
"254",8407,"WBGene00022372","Y92H12BR.7","protein_coding","NULL",190789
"255",7166,"WBGene00022371","set-29","protein_coding","SET (Trithorax/polycomb) domain containing  [Source:UniProtKB/TrEMBL;Acc:Q9BPP1]",171705
"256",1893,"WBGene00022368","Y92H12BR.2","protein_coding","NULL",171706
"257",8616,"WBGene00022369","Y92H12BR.3","protein_coding","NULL",171707
"258",6469,"WBGene00022370","Y92H12BR.4","pseudogene","NULL",NA
"259",5053,"WBGene00022373","mrpl-15","protein_coding","Mitochondrial Ribosomal Protein, Large  [Source:UniProtKB/TrEMBL;Acc:Q9BPN6]",171710
"260",1895,"WBGene00018159","F37F2.2","protein_coding","Probable signal recognition particle 19 kDa protein  [Source:UniProtKB/Swiss-Prot;Acc:O61749]",171711
"261",135,"WBGene00219937","F37F2.4","snoRNA","NULL",NA
"262",18862,"WBGene00004969","spe-15","protein_coding","NULL",171712
"263",100,"WBGene00196566","F47G6.6","ncRNA","NULL",NA
"264",73,"WBGene00023055","F47G6.t1","tRNA","NULL",NA
"265",1956,"WBGene00001773","gst-25","protein_coding","Glutathione S-Transferase  [Source:UniProtKB/TrEMBL;Acc:O61750]",24104550
"266",3991,"WBGene00018580","F47G6.3","protein_coding","NULL",171713
"267",8694,"WBGene00018579","acs-16","protein_coding","Fatty Acid CoA Synthetase family  [Source:UniProtKB/TrEMBL;Acc:Q9TZI7]",171714
"268",7412,"WBGene00001115","dyb-1","protein_coding","Dystrobrevin-1  [Source:UniProtKB/Swiss-Prot;Acc:Q9Y048]",171715
"269",21,"WBGene00170789","21ur-13232","piRNA","NULL",NA
"270",23525,"WBGene00022361","Y92H12A.5","protein_coding","NULL",171716
"271",26157,"WBGene00022360","Y92H12A.4","protein_coding","NULL",3565441
"272",12672,"WBGene00022358","Y92H12A.2","protein_coding","E3 ubiquitin-protein ligase  [Source:UniProtKB/TrEMBL;Acc:Q9BKW4]",171719
"273",21,"WBGene00172419","21ur-12465","piRNA","NULL",NA
"274",13268,"WBGene00005077","src-1","protein_coding","Tyrosine protein-kinase src-1  [Source:UniProtKB/Swiss-Prot;Acc:G5EE56]",171722
"275",90,"WBGene00195355","Y92H12A.8","ncRNA","NULL",NA
"276",73,"WBGene00023198","Y92H12A.t1","tRNA","NULL",NA
"277",12275,"WBGene00022270","Y73E7A.3","protein_coding","NULL",190665
"278",1526,"WBGene00022271","cpx-1","protein_coding","Putative complexin-1  [Source:UniProtKB/Swiss-Prot;Acc:Q9GUM7]",190666
"279",834,"WBGene00022272","Y73E7A.5","pseudogene","NULL",NA
"280",5089,"WBGene00022269","Y73E7A.2","protein_coding","NULL",171723
"281",2384,"WBGene00022273","Y73E7A.6","protein_coding","Bladder cancer related protein  [Source:UniProtKB/TrEMBL;Acc:G5EE03]",171724
"282",9691,"WBGene00044440","adpr-1","protein_coding","ADiPose (Drosophila obesity gene) Related  [Source:UniProtKB/TrEMBL;Acc:Q4W5Q8]",3565128
"283",7131,"WBGene00000269","bre-4","protein_coding","Beta-1,4-N-acetylgalactosaminyltransferase bre-4  [Source:UniProtKB/Swiss-Prot;Acc:Q9GUM2]",190668
